, Authors,Quotes,Likes,Tags
21,Bhagavad Gita,“You are what you believe in. You become that which you believe you can become”,61,"['hinduism,', 'inspirational,', 'inspirational-quotes,', 'life,', 'motivational,', 'wisdom']"
22,"Stephen Richards,","“Manifesting is a lot like making a cake. The things needed are supplied by you, the mixing is done by your mind and the baking is done in the oven of the universe.”",59,"['law-of-attraction,', 'mind-body-spirit,', 'mind-power,', 'money,', 'motivational,', 'new-age,', 'new-thought,', 'positive-thinking,', 'self-empowerment,', 'self-help,', 'self-help-book,', 'self-improvement,', 'self-motivation,', 'stephen-richards,', 'wealth,', 'wealth-creation,', 'worthy']"
23,"Robert Kiyosaki,",“Success is a poor teacher”,56,"['motivational,', 'success']"
24,"Criss Jami,",“Soar with wit. Conquer with dignity. Handle with care.”,55,"['accomplish,', 'achievement,', 'care,', 'conquering,', 'dignity,', 'handling,', 'inspirational,', 'motivational,', 'prosper,', 'soaring,', 'success,', 'wit']"
25,"Amit Kalantri,","“Intelligence is more important than strength, that is why earth is ruled by men and not by animals.”",54,"['animal,', 'animal-instinct,', 'animals,', 'clever,', 'cleverness,', 'earth,', 'fun,', 'funny,', 'funny-quotes,', 'human,', 'humans,', 'inspiration,', 'inspirational,', 'inspirational-quotes,', 'intelligence,', 'intelligent,', 'intelligent-men,', 'man-is-clever,', 'motivation,', 'motivational,', 'motivational-quotes,', 'philosophy,', 'strength,', 'strong,', 'wisdom,', 'wisdom-quotes,', 'wit,', 'witty,', 'witty-quotes']"
26,"Les Brown,",“I will heighten my life by helping others heighten theirs”,53,"['african-american-author,', 'inspirational,', 'les-brown,', 'motivational']"
27,Les Brown,“No one rises to low expectations”,49,"['inspirational,', 'les-brown,', 'motivational']"
28,Kristin Armstrong,"“Do the things you used to talk about doing but never did. Know when to let go and when to hold on tight. Stop rushing. Don't be intimidated to say it like it is. Stop apologizing all the time. Learn to say no, so your yes has some oomph. Spend time with the friends who lift you up, and cut loose the ones who bring you down. Stop giving your power away. Be more concerned with being interested than being interesting. Be old enough to appreciate your freedom, and young enough to enjoy it. Finally know who you are.”",48,['motivational']
29,Amit Ray,“You are the perfect creation of God. Don't allow you to be down. God is experiencing through you.”,43,"['god,', 'inspirational,', 'motivational']"
0,"Steve Maraboli,",“It’s time to care; it’s time to take responsibility; it’s time to lead; it’s time for a change; it’s time to be true to our greatest self; it’s time to stop blaming others.”,224,"['blaming-others,', 'caring,', 'change,', 'inspirational,', 'leadership,', 'motivational,', 'responsibility,', 'true-to-yourself']"
1,"Steve Maraboli,",“Judging is preventing us from understanding a new truth. Free yourself from the rules of old judgments and create the space for new understanding.”,193,"['change,', 'free-thought,', 'inspirational,', 'judging,', 'life,', 'motivational,', 'rules,', 'success,', 'truth,', 'understanding']"
2,"Steve Maraboli,",“Don’t tell me about your god with your words. Show me about your god with your actions.”,167,"['actions,', 'christian-behavior,', 'god,', 'inspirational,', 'motivational,', 'religion']"
3,"Steve Maraboli,","“Fear can only grow in darkness. Once you face fear with light, you win.”",162,"['darkness,', 'fear,', 'inspirational,', 'life,', 'light,', 'motivational,', 'success']"
4,"Steve Maraboli,","“We can't undo a single thing we have ever done, but we can make decisions today that propel us to the life we want and towards the healing we need.”",145,"['action,', 'appreciation,', 'change,', 'life,', 'motivational,', 'seize-the-day']"
5,"Steve Maraboli,",“How would your life be different if…You pretended those around you were deaf to your words? Let today be the day…You let your actions speak and communicate your feelings and intentions.”,131,"['action,', 'communication,', 'compassion,', 'inspirational,', 'intentions,', 'kindness,', 'life,', 'motivational,', 'success,', 'words']"
6,"Steve Maraboli,","“Reading the Bible will help you get to know the word, but it’s when you put it down and live your life that you get to know the author.”",112,"['action,', 'bible,', 'inspirational,', 'living-life,', 'motivational,', 'reading']"
7,"Steve Maraboli,","“A very small percentage of the people in this world will actually experience and live today. So many people will be stuck on another day, another time that traumatized them and caused them to spiritually stutter so they miss out on this day.”",109,"['appreciation,', 'inspirational,', 'life,', 'living-now,', 'motivational,', 'today']"
8,"Sheryl Sandberg,","“I hope you find true meaning, contentment, and passion in your life. I hope you navigate the difficult times and come out with greater strength and resolve. I hope you find whatever balance you seek with your eyes wide open. And I hope that you - yes, you - have the ambition to lean in to your career and run the world. Because the world needs you to change it.”",108,"['encouraging,', 'inspirational,', 'motivational']"
9,E.A. Bucchianeri,“Be wise today so you don't cry tomorrow.”,106,"['actions,', 'be-smart,', 'consequences,', 'decisions,', 'gadfly,', 'inspirational,', 'life,', 'life-lessons,', 'life-philosophy,', 'making-good-decisions,', 'motivational,', 'no-regrets,', 'philosophy-of-life,', 'truth,', 'twitter,', 'twitter-quotes,', 'wisdom,', 'wise-words']"
10,"Steve Maraboli,","“You are where you are right now because of the actions you've taken, or maybe, the inaction you've taken.”",97,"['action,', 'inaction,', 'life,', 'motivational,', 'success']"
11,Roy T. Bennett,"“It is better to find your courage to make changes when you can choose to rather than being forced to. If you do not make change, change will make you.”",91,"['change,', 'courage,', 'inspiration,', 'inspirational,', 'inspirational-quotes,', 'inspire,', 'inspiring,', 'life,', 'life-quotes,', 'living,', 'motivation,', 'motivational,', 'optimism,', 'optimistic,', 'positive,', 'positive-affirmation,', 'positive-life,', 'positive-thinking']"
12,"Amit Kalantri,","“To assess the quality of thoughts of people, don't listen to their words, but watch their actions.”",87,"['act,', 'action,', 'actions,', 'assess,', 'assessment,', 'evaluate,', 'hero,', 'heroes,', 'heroism,', 'human,', 'humans,', 'inspiration,', 'inspirational,', 'inspirational-quotes,', 'listen,', 'listening,', 'motivation,', 'motivational,', 'motivational-quotes,', 'philosophy,', 'quality,', 'speech,', 'speeches,', 'standard,', 'think,', 'thinking,', 'thought,', 'thoughts,', 'watch,', 'watching,', 'wisdom,', 'wisdom-quotes,', 'word,', 'words']"
13,Roy T. Bennett,"“The value of surrounding yourself with positive people is not what you get from them, but how good a person you have become because of them.”",81,"['inspiration,', 'inspirational,', 'inspirational-quotes,', 'inspire,', 'inspiring,', 'life,', 'life-quotes,', 'living,', 'motivation,', 'motivational,', 'optimism,', 'optimistic,', 'positive,', 'positive-affirmation,', 'positive-life,', 'positive-thinking,', 'value']"
14,Roy T. Bennett,“Everyone's time is limited. What matters most is to focus on what matters most.”,79,"['focus,', 'inspiration,', 'inspirational,', 'inspirational-attitude,', 'inspirational-life,', 'inspirational-quotes,', 'inspire,', 'inspiring,', 'life,', 'life-and-living,', 'life-lessons,', 'life-quotes,', 'living,', 'motivation,', 'motivational,', 'optimism,', 'optimistic,', 'positive,', 'positive-affirmation,', 'positive-life,', 'positive-thinking,', 'time']"
15,"Ayn Rand,",“Do it first and feel about it afterwards.' - Dagny Taggart”,78,['motivational']
16,"Steve Maraboli,","“If you don’t know exactly where you’re going, how will you know when you get there?”",73,"['action,', 'journey,', 'motivational,', 'planning,', 'success']"
17,"Steve Maraboli,","“Scholars, theologians, and even poets have yet to be able to truly describe and touch upon the beauty, romance, and magic of a relationship built on 100% authenticity”",72,"['authenticity,', 'beauty,', 'honesty,', 'inspirational,', 'life,', 'love,', 'motivational,', 'relationships,', 'romance']"
18,Les Brown,"“Shoot for the moon. Even if you miss, you'll land among the stars.”",71,"['inspirational,', 'life,', 'moon,', 'motivational,', 'stars']"
19,Steve Maraboli,“Life is a balanced system of learning and evolution. Whether pleasure or pain; every situation in your life serves a purpose. It is up to us to recognize what that purpose could be.”,61,"['balance,', 'evolution,', 'inspirational,', 'learning,', 'life,', 'motivational,', 'pain,', 'pleasure,', 'purpose,', 'situation,', 'success,', 'system']"
20,Sanhita Baruah,"“It is not as much about who you used to be, as it is about who you choose to be.”",61,"['aims,', 'ambitions,', 'ambitious,', 'attitude,', 'career,', 'choices,', 'choose,', 'decisions,', 'encourage,', 'faith,', 'future,', 'happiness,', 'happy,', 'hope,', 'hopeful,', 'inspirational,', 'life,', 'love,', 'motivational,', 'motive,', 'move-on,', 'past,', 'present,', 'self-development,', 'self-help,', 'self-improvement,', 'success,', 'work-hard,', 'workaholic']"
21,Naruto Shippuden,"“A smile is the best way to get oneself out of a tight spot, even if it is a fake one. Surprisingly enough, everyone takes it at face value. I read that in a book.""",60,"['anime,', 'dramatic,', 'humorous,', 'inspirational,', 'manga,', 'motivational']"
22,Princess Diana,"“Everyone of us needs to show how much we care for each other and, in the process, care for ourselves.”",50,['motivational']
23,"Steve Maraboli,",“Do you love yourself enough to BE what you love yourself enough to WANT?”,48,"['inspirational,', 'motivational,', 'self-love,', 'success']"
24,"Steve Maraboli,",“One of the most healing things you can do is recognize where in your life you are your own poison.”,45,"['inspirational,', 'life,', 'motivational,', 'poison,', 'success']"
25,"Steve Maraboli,","“‎By reacting from fear instead of responding from love, you inject poison directly into the veins of your relationship.”",45,"['fear,', 'inspirational,', 'love,', 'motivational,', 'poison,', 'relationship,', 'veins']"
26,Les Brown,“It is better to aim high and miss than to aim low and hit.”,43,"['aim-high,', 'better,', 'inspirational,', 'les-brown,', 'motivational']"
27,Les Brown,“A friend who is far away is sometimes much nearer than one who is at hand.”,42,"['friendship,', 'inspirational,', 'les-brown,', 'motivational']"
28,Sanober Khan,"“When admiring other people's gardens, don't forget to tend to your own flowers.”",42,"['flower,', 'flowers,', 'gardens,', 'inspirational,', 'live-your-life,', 'love-yourself,', 'motivational,', 'poetry,', 'respect,', 'self-esteem,', 'self-love,', 'self-respect,', 'self-worth,', 'take-care-of-yourself,', 'talent']"
29,"Amit Kalantri,",“All worries are less with wine.”,37,"['adage,', 'advertisement,', 'alcohol,', 'alliterations,', 'amit-kalantri,', 'amit-kalantri-quotes,', 'amit-kalantri-writer,', 'bitter,', 'blog,', 'blogging,', 'body-weight,', 'book-writing,', 'breakfast,', 'buffet,', 'calories,', 'catch-lines,', 'catchphrases,', 'characters,', 'cheese,', 'chef,', 'cold-drink,', 'cook,', 'cooking,', 'creative-writing,', 'culinary,', 'diet,', 'dieting,', 'dinner,', 'doctor,', 'drink,', 'drinking,', 'eat,', 'eating-out,', 'essay,', 'exotic,', 'explore,', 'fat,', 'fitness,', 'food,', 'food-channel,', 'food-quotes,', 'foodie,', 'foodies,', 'glass-of-wine,', 'glutton,', 'health,', 'healthy,', 'holidays,', 'inspirational,', 'knowledge,', 'lose-calories,', 'love-food,', 'lunch,', 'meal,', 'medical,', 'medicine,', 'motivational,', 'movie,', 'movie-dialogue,', 'novel-writing,', 'oily,', 'party,', 'philosophy,', 'pound,', 'protein,', 'proverbs,', 'public-speaking,', 'punchline,', 'pungent,', 'quotes,', 'red-wine,', 'restaurants,', 'rhetoric,', 'salt,', 'salty,', 'script,', 'script-writing,', 'scriptwriting,', 'single-malt,', 'slogans,', 'social-networking,', 'speech,', 'speechwriting,', 'spices,', 'story,', 'sweet,', 'tag-lines,', 'taste,', 'travel,', 'vitamins,', 'weight-gain,', 'weight-loss,', 'whisky,', 'white-wine,', 'wine,', 'wisdom,', 'worries,', 'worry,', 'writing']"
0,"John Steinbeck,","“When I face the desolate impossibility of writing five hundred pages, a sick sense of failure falls on me, and I know I can never do it. Then gradually, I write one page and then another. One day's work is all I can permit myself to contemplate.”",153,"['creative-process,', 'failure,', 'motivational,', 'persistence,', 'writing']"
1,"Steve Maraboli,",“Are you going to allow the world around you to change while you remain stagnant? Make this the time you throw away old habits that have hindered your happiness and success and finally allow your greatest self to flourish.”,132,"['change,', 'happiness,', 'inspirational,', 'letting-go,', 'motivational,', 'self-empowerment,', 'success']"
2,"Steve Maraboli,",“Life itself is simple...it's just not easy.”,115,"['easy,', 'happiness,', 'inspirational,', 'life,', 'motivational,', 'simple,', 'steve-maraboli,', 'success,', 'trials']"
3,Steve Maraboli,"“You've been given the innate power to shape your life...but you cannot just speak change, you have to LIVE change. Intent paired with action builds the bridge to success. You can't just want it; you have to do it, live it...BE it! Success isn't something you have, it's something you DO!”",109,"['action,', 'blessing,', 'change,', 'inspirational,', 'life,', 'mission,', 'motivational,', 'purpose,', 'success']"
4,"Steve Maraboli,","“When you find yourself in need of spiritual nourishment, it is in the opportunities to serve others that you will find the abundance you seek.”",109,"['compassion,', 'happiness,', 'inspirational,', 'kindness,', 'life,', 'motivational,', 'service,', 'spiritual-growth']"
5,Steve Maraboli,"“Once you start recognizing the truth of your story, finish the story. It happened but you're still here, you're still capable, powerful, you're not your circumstance. It happened and you made it through. You're still fully equipped with every single tool you need to fulfill your purpose.”",109,"['circumstance,', 'inspirational,', 'life,', 'life-story,', 'motivational,', 'powerful,', 'purpose,', 'self-love,', 'tools,', 'truth']"
6,"Steve Maraboli,",“The purpose of fear is to raise your awareness not to stop your progress.”,100,"['action,', 'fear,', 'life,', 'motivational,', 'progress']"
7,"Steve Maraboli,","“Think of the patience God has had for you and let it resonate to others. If you want a more patient world, let patience be your motto”",91,"['compassion,', 'god,', 'inspirational,', 'life,', 'motivational,', 'patience']"
8,"Steve Maraboli,","“When you do what you love, the seemingly impossible becomes simply challenging, the laborious becomes purposeful resistance, the difficult loses its edge and is trampled by your progress.”",89,"['action,', 'challenges,', 'life,', 'love,', 'motivational,', 'progress,', 'purposeful']"
9,"Donny Deutsch,",“You know you're doing what you love when Sunday nights feel the same as Friday nights....”,81,"['entrepreneur,', 'motivational']"
10,"Steve Maraboli,",“Your life begins to change the day you take responsibility for it.”,81,"['change,', 'happiness,', 'inspirational,', 'life,', 'motivational,', 'responsibility,', 'success']"
11,Habeeb Akande,“I may not be where I want to be but I'm thankful for not being where I used to be.”,80,"['appreciate,', 'god,', 'gratitude,', 'inspirational,', 'life,', 'motivational,', 'perspective,', 'thankfulness']"
12,"John Lubbock,","“The whole value of solitude depends upon oneself; it may be a sanctuary or a prison, a haven of repose or a place of punishment, a heaven or a hell, as we ourselves make it.”",75,"['haven,', 'heaven,', 'hell,', 'inspirational,', 'motivational,', 'personality,', 'prison,', 'punishment,', 'repose,', 'sanctuary,', 'science,', 'self-determination,', 'solitude,', 'value']"
13,"Steve Maraboli,",“NEVER be surprised by your own success!”,75,"['action,', 'life,', 'motivational,', 'success']"
14,"Steve Maraboli,","“How would your life be different if…You stopped focusing on what you didn’t want and started focusing on what you do want? Let today be the day…You establish a clear intent, make a plan, and take actions towards your intent.”",74,"['action,', 'change,', 'goal,', 'inspirational,', 'intent,', 'knowing-oneself,', 'life,', 'motivational,', 'plan']"
15,"Niccolò Machiavelli,","“Therefore it is unnecessary for a prince to have all the good qualities I have enumerated, but it is very necessary to appear to have them. And I shall dare to say this also, that to have them and always to observe them is injurious, and that to appear to have them is useful; to appear merciful, faithful, humane, religious, upright, and to be so, but with a mind so framed that should you require not to be so, you may be able and know how to change to the opposite.”",69,"['inspirational,', 'motivational,', 'power']"
16,"Stephen Richards,","“The moment you become friends with your inner Self, you realize that the failures or hindrances that you met earlier were caused more by your disconnected status with your inner Being.”",64,"['confidence,', 'empowerment,', 'jedi,', 'motivational,', 'self-confidence,', 'self-help']"
17,"Steve Maraboli,",“Your agreement with reality defines your life.”,58,"['agreement-with-reality,', 'inspirational,', 'life,', 'motivational,', 'perception,', 'success']"
18,Ann Richards,"“The here and now is all we have, and if we play it right it's all we'll need.”",56,"['live-in-the-moment,', 'motivational']"
19,"Amit Kalantri,",“Politeness is the first thing people lose once they get the power.”,52,"['adage,', 'advertisement,', 'alliterations,', 'amit-kalantri,', 'amit-kalantri-quotes,', 'amit-kalantri-writer,', 'ascendancy,', 'authority,', 'blog,', 'blogging,', 'book-writing,', 'catch-lines,', 'catchphrases,', 'characters,', 'chivalry,', 'civility,', 'command,', 'considerateness,', 'consideration,', 'control,', 'courtesy,', 'creative-writing,', 'cultivation,', 'deference,', 'diplomacy,', 'discretion,', 'dominance,', 'domination,', 'dominion,', 'essay,', 'gallantry,', 'gentility,', 'good-breeding,', 'good-manners,', 'grace,', 'grasp,', 'hold,', 'influence,', 'inspirational,', 'jurisdiction,', 'knowledge,', 'leverage,', 'manners,', 'mastery,', 'motivational,', 'movie,', 'movie-dialogue,', 'novel-writing,', 'people,', 'philosophy,', 'polite,', 'politeness,', 'power,', 'proverbs,', 'public-speaking,', 'punchline,', 'quotes,', 'respect,', 'rhetoric,', 'rule,', 'sayings,', 'script,', 'script-writing,', 'scriptwriting,', 'slogans,', 'social-networking,', 'soft-skills,', 'sovereignty,', 'speech,', 'speechwriting,', 'story,', 'supremacy,', 'sway,', 'tactfulness,', 'tag-lines,', 'thoughtfulness,', 'urbanity-tact,', 'weight,', 'wisdom,', 'wit,', 'witty,', 'writing']"
20,"Steve  Pemberton,","“A different vantage point gives us new information, and with that information we can begin to change our approach.”",48,"['christian,', 'growth,', 'inspirational,', 'inspiring,', 'introspective,', 'memoir,', 'motivating,', 'motivational,', 'personal-development,', 'self-help']"
21,Amit Kalantri,"“When you are angry try your best to go to sleep, it keeps you away from speaking, writing and thinking while you are angry.”",40,"['anger,', 'angry,', 'angry-people,', 'angry-young-man,', 'being-cool,', 'calm,', 'cool,', 'fun,', 'funny,', 'funny-quotes,', 'human,', 'humans,', 'inspiration,', 'inspirational,', 'inspirational-quotes,', 'matters,', 'motivation,', 'motivational,', 'motivational-quotes,', 'philosophy,', 'stop,', 'stopping,', 'things-that-matter,', 'wisdom,', 'wisdom-quotes,', 'wit,', 'witty,', 'witty-quotes']"
22,"Steve Maraboli,","“The best way to succeed is to have a specific Intent, a clear Vision, a plan of Action, and the ability to maintain Clarity. Those are the Four Pillars of Success. It never fails!”",39,"['action,', 'clarity,', 'four-pillars-of-success,', 'intent,', 'motivational,', 'succeed,', 'vision']"
23,"Amit Kalantri,","“Resources are hired to give results, not reasons.”",39,"['amit-kalantri,', 'amit-kalantri-quotes,', 'appoint,', 'appointment,', 'business,', 'business-quotes,', 'company,', 'complaining,', 'complaints,', 'corporate,', 'employee,', 'employees,', 'employment,', 'hire,', 'hiring,', 'hr,', 'human,', 'human-resource,', 'human-resources,', 'humans,', 'inspiration,', 'inspirational,', 'inspirational-quotes,', 'job,', 'mangement,', 'motivation,', 'motivational,', 'motivational-quotes,', 'philosophy,', 'reason,', 'reasons,', 'resource,', 'resources,', 'result,', 'results,', 'wisdom,', 'wisdom-quotes,', 'work,', 'workman,', 'workmanship']"
24,Germany Kent,“Kindness is universal. Sometimes being kind allows others to see the goodness in humanity through you. Always be kinder than necessary.”,39,"['answer-to-a-prayer,', 'be-kind,', 'be-kind-enough-not-to-get-angry,', 'be-kind-quotes,', 'be-kind-to-all,', 'be-kind-to-others,', 'be-kind-to-someone,', 'be-kind-today,', 'be-kinder,', 'be-the-change,', 'be-the-change-quotes,', 'be-the-hero-you-can-t-find,', 'be-the-joy-of-others,', 'be-the-light,', 'be-the-light-in-someone-s-life,', 'be-the-light-quote,', 'be-the-light-quotes,', 'be-the-lighthouse,', 'being-kind,', 'being-kind-and-humble,', 'being-kind-to-your-fellow-woman,', 'change,', 'change-the-world-quotes,', 'difference-maker,', 'difference-makers,', 'differences-between-people,', 'differences-of-people,', 'do-good,', 'do-good-quotes,', 'example,', 'exception,', 'exception-to-the-rule,', 'germany-kent,', 'germany-kent-quote,', 'germany-kent-quotes,', 'giving-back,', 'giving-help,', 'giving-love,', 'goodness-and-evil,', 'goodness-in-life,', 'goodness-inspirational,', 'goodness-quotes,', 'goodness-strength,', 'help,', 'help-others-find-happiness,', 'help-others-quotes,', 'help-quotes,', 'helpful,', 'helping-hand,', 'helping-others,', 'helping-people,', 'hope,', 'hope-guru,', 'human-nature,', 'humanity,', 'humanity-and-reality,', 'humanity-quotes,', 'humanity-society,', 'inspirational-attitude,', 'inspirational-living,', 'inspirational-quotes,', 'inspirational-religious,', 'inspirational-speaker,', 'inspirational-speakers,', 'inspire,', 'kindness,', 'lead,', 'lead-from-within,', 'leaders,', 'make-a-difference,', 'motivation,', 'motivation-speakers,', 'motivational,', 'motivational-enlightenment,', 'motivational-inspirational,', 'motivational-quotations,', 'motivational-quotes,', 'motivational-quotes-for-women,', 'motivational-speaker,', 'motivational-speaker-quotes,', 'necessary,', 'necessary-quotes,', 'non-verbal-communication,', 'nonviolence,', 'others,', 'others-may-follow,', 'others-quotes,', 'peace,', 'peace-making,', 'peace-on-earth,', 'peacemaker,', 'raise-your-voice,', 'spread-hope,', 'spread-love,', 'spreading-peace,', 'spreading-sunshine,', 'stand-up,', 'the-hope-guru,', 'transformational-speaker,', 'truth-inspirational,', 'truth-of-life,', 'universal,', 'universal-language,', 'universal-mind,', 'universal-truth-quotes,', 'universal-truths,', 'way-maker,', 'world,', 'world-peace,', 'your-life-is-an-aspiring-story,', 'your-life-is-an-example']"
25,Les Brown,“You don't have to be great to get started but you have to get started to be great.”,38,"['great,', 'inspirational-living,', 'les-brown,', 'motivational,', 'start']"
26,Tye Lewis,“Your feelings wouldn't get hurt if you were honest with yourself”,34,"['inspirational,', 'integrity,', 'motivational']"
27,"Sarah Wylie,","“Most people think the biggest sacrifice, the greates act of love you can give is to die for someone. And probably it is. But Sometimes it is the opposite. The biggest thing you can do for someone is to live.”",34,['motivational']
28,Steven Aitchison,"“If you have the courage to be honest with everyone, including yourself, you may hurt a few people's feelings, but they will forever value your opinion more than your half truths.”",31,"['inspirational,', 'inspirational-quotes,', 'motivational']"
29,Daniel Mangena,“If only we had the certainty in our strength that we do in our weaknesses and capacity for failure - oh how wonderful life would be”,28,"['motivation,', 'motivational,', 'power']"
0,"Steve Maraboli,","“I promise you nothing is as chaotic as it seems. Nothing is worth diminishing your health. Nothing is worth poisoning yourself into stress, anxiety, and fear.”",464,"['anxiety,', 'fear,', 'health,', 'inspirational,', 'motivational,', 'poison,', 'stress']"
1,"Steve Maraboli,",“Stop giving meaningless praise and start giving meaningful action.”,99,"['action,', 'inspirational-quotes,', 'life,', 'motivational,', 'praise,', 'success']"
2,Robert Louis Stevenson,“Make the most of the best and the least of the worst.”,92,"['inspirational,', 'motivational']"
3,Victoria Erickson,"“Although I deeply love oceans, deserts and other wild landscapes, it is only mountains that beckon me with that sort of painful magnetic pull to walk deeper and deeper into their beauty. They keep me continuously wanting to know more, feel more, see more.”",86,"['life,', 'motivational,', 'mountains,', 'travel']"
4,"Steve Maraboli,",“Stop allowing your day-to-day life to be clouded by busy nothingness.”,72,"['action,', 'intent,', 'life,', 'motivational,', 'purpose,', 'success']"
5,Pablo,“We only live once. We all have an expiration date after that we will never come again. I am not saying that to make you sad. I am saying that so you can cherish each moment in your life and be grateful that you are here and you are Special”,70,"['death,', 'gratitude,', 'inspiration,', 'life,', 'motivational']"
6,"Sidney Poitier,",“A person doesn't have to change who he is to become better.”,68,"['inspirational,', 'motivational']"
7,"Steve Maraboli,",“The value of a moment is immeasurable. The power of just ONE moment can propel you to success and happiness or chain you to failure and misery.”,58,"['action,', 'doing-your-best,', 'failure,', 'happiness,', 'inspirational,', 'life,', 'moment,', 'motivational,', 'now,', 'today']"
8,Daniel Willey,“I can’t think of anything more disheartening than living a life without a clear purpose.”,55,"['depress,', 'depressing,', 'depression,', 'disheartening,', 'life,', 'living,', 'motivation,', 'motivational,', 'purpose,', 'purposes']"
9,"Steve Maraboli,",“Change is in the air. This change reminds us that we are made and beautifully sculpted by the same power that orchestrates the change of season. Let this be the season you embrace and align yourself with this change.”,50,"['action,', 'change,', 'inspirational,', 'life,', 'motivational,', 'success']"
10,"Steve Maraboli,",“Change is the parent of progress.”,49,"['action,', 'change,', 'inspirational,', 'life,', 'motivational,', 'progress']"
11,"Steve Maraboli ,","“If you intend to change, decide what you want and live your life accordingly.”",48,"['action,', 'change,', 'intent,', 'life,', 'motivational']"
12,"Steve Maraboli,",“Free yourself from the complexities of your life! A life of simplicity and happiness awaits you.”,48,"['action,', 'happiness,', 'inspirational,', 'life,', 'motivational,', 'simplicity,', 'success']"
13,"Steve Maraboli,",“Search for contentment in each person you meet.”,48,"['compassion,', 'contentment,', 'inspirational,', 'kindness,', 'motivational']"
14,Glenn Brandon Burke,"“If you do whatever it takes to accomplish your goals to live the life you desire, It will be worth it. I promise! But if you find some excuse to justify quitting your journey, you will regret it. This is also a promise!"" -gbb”",45,"['inspirational,', 'motivational,', 'speaker']"
15,"Steve Maraboli,","“Success is something you experience when you act accordingly. Success is not something you have, it's something you do.”",45,"['action,', 'inspirational,', 'life,', 'motivational,', 'success']"
16,"Steve Maraboli,","“What do you think will be more effective when it comes to succeeding, believing you can or KNOWING you will? Let today be the last day you took timid steps of belief and start taking confident steps of purpose-driven knowing!”",45,"['belief,', 'believing-vs-knowing,', 'conviction,', 'motivational,', 'self-knowledge,', 'success']"
17,"C.S. Lewis,","“But when your sword breaks, you draw your dagger.”",45,"['inspirational,', 'motivational']"
18,"Jennifer Starzec,","“I often wished that more people understood the invisible side of things. Even the people who seemed to understand, didn't really.”",45,"['chronic-illness,', 'chronic-pain,', 'dance,', 'disability,', 'fatigue,', 'inspirational,', 'invisible-illness,', 'motivational,', 'myelitis,', 'neuropathy,', 'paralysis,', 'rare-disease,', 'run,', 'sci,', 'spinal-cord-injury,', 'tm,', 'transverse-myelitis']"
19,"Steve Maraboli,",“Today stretches ahead of you waiting to be shaped. You are the sculptor who gets to do the shaping. What today will be like is up to you.”,40,"['action,', 'inspirational,', 'life,', 'live-now,', 'motivational,', 'today']"
20,"Criss Jami,",“I do not care about happiness simply because I believe that joy is something worth fighting for.”,40,"['fighting-battles,', 'greater-glory,', 'greater-good,', 'happiness,', 'hard-work,', 'joy,', 'motivational,', 'value,', 'value-of-work,', 'worth']"
21,"Steve Maraboli,","“When you establish a destination by defining what you want, then take physical action by making choices that move you towards that destination, the possibility for success is limitless and arrival at the destination is inevitable.”",39,"['action,', 'destination,', 'inspirational,', 'motivational,', 'planning,', 'success']"
22,"Jennifer Starzec,","“People who don't see you every day have a hard time understanding how on some days--good days--you can run three miles, but can barely walk across the parking lot on other days,' [my mom] said quietly.”",39,"['chronic-illness,', 'chronic-pain,', 'dance,', 'disability,', 'fatigue,', 'inspirational,', 'invisible-illness,', 'motivational,', 'myelitis,', 'neuropathy,', 'paralysis,', 'run,', 'tm,', 'transverse-myelitis']"
23,"Steve  Pemberton,","“Having uncompromising belief also means safeguarding your own spirit, defining who and what you want in your life.”",39,"['christian,', 'growth,', 'inspirational,', 'inspiring,', 'introspective,', 'memoir,', 'motivating,', 'motivational,', 'personal-development,', 'self-help']"
24,"Steve  Pemberton,",“Purposeful planning is most effective when you are actively seeking and getting feedback from those whose judgement you trust and respect.”,36,"['christian,', 'growth,', 'inspirational,', 'inspiring,', 'introspective,', 'memoir,', 'motivating,', 'motivational,', 'personal-development,', 'self-help']"
25,William James,"“Your hopes, dreams and aspirations are legitimate. They are trying to take you airborne, above the clouds, above the storms, if you only let them.”",33,"['inspirational,', 'motivational']"
26,"Jack Canfield,","“If you get clear on the what, the how will be taken care of.”",29,"['goal-setting,', 'inspirational,', 'motivational,', 'self-help']"
27,Les Brown,“Wanting something is not enough. You must hunger for it. Your motivation must be absolutely compelling in order to overcome the obstacles that will invariably come your way.”,29,"['inspirational,', 'les-brown,', 'life-lessons,', 'motivational']"
28,Steven Aitchison,“People change for two main reasons:,29,"['inspirational,', 'motivational,', 'steven-aitchison']"
29,"Epictetus,","“What would have become of Hercules do you think if there had been no lion, hydra, stag or boar - and no savage criminals to rid the world of? What would he have done in the absence of such challenges?",29,"['motivational,', 'philosophy']"
0,"Steve Maraboli,",“Do not sabotage your new relationship with your last relationship’s poison.”,157,"['happiness,', 'inspirational,', 'motivational,', 'poison,', 'relationship,', 'sabotage,', 'success']"
